Heater (V),Electron Gun Electrodes (V),Accelerating Voltage (V),Helmholtz Coils (V),Helmholtz Voltage Drop (V),Resistance (Ω),Right Radius (cm),Left Radius (cm)
6.32,149.9,149.9,6.59,6.77,6.5,5.0,4.8
6.32,149.8,149.8,7.41,7.05,6.5,5,4.9
6.32,149.8,149.8,7.03,6.58,6.5,5.0,4.8
6.32,149.6,149.6,8.31,7.08,6.5,4.8,4.7
6.32,149.6,149.6,9.00,6.72,6.5,5.1,4.9
6.32,149.5,149.5,6.65,7.69,6.5,4.5,4.4
6.32,149.5,149.5,7.55,6.78,6.5,5.0,4.9
6.32,149.5,149.5,7.08,8.07,6.5,4.2,3.9
6.32,149.5,149.5,6.90,6.55,6.5,5.1,4.4
6.32,149.5,149.5,8.14,7.78,6.5,4.3,4.2
