Heater (V),Electron Gun Electrodes (V),Accelerating Voltage (V),Helmholtz Coils (V),Helmholtz Voltage Drop (V),Resistance (Ω),Right Radius (cm),Left Radius (cm)
6.32,211.8,211,6.63,8.46,6.5,4.9,4.8
6.32,211.8,211.8,6.61,11.26,6.5,3.4,3.3
6.32,211.8,211.8,8.46,9.40,6.5,4,4
6.32,211.8,212.1,6.32,8.42,6.5,4.8,4.7
6.32,211.8,212.2,6.08,7.92,6.5,5,4.8
6.32,211.8,212.2,8.33,8.06,6.5,5.1,4.9
6.32,211.8,212.2,6.97,8.27,6.5,4.9,4.8
6.32,211.8,212.2,8.69,8.73,6.5,4.7,4.6
6.32,211.8,212.3,8.53,8.63,6.5,4.5,4.4
6.32,211.8,212.2,7.72,8.81,6.5,4.6,4.4
